week_start,approving,disapproving,unsure_or_no_data,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,orders_outcome_var
2011-03-13,47.0,45.0,8.0,213492,769157,212748,176676,573235,463133,179,300,583,591,600,458617,378506,457170,0
2011-03-06,47.0,45.0,8.0,213492,769157,212748,176676,573235,463133,179,300,583,591,600,458617,378506,457170,8
2011-03-20,47.0,45.0,8.0,213492,769157,212748,176676,573235,463133,179,300,583,591,600,458617,378506,457170,0
2011-03-27,47.0,45.0,8.0,213492,769157,212748,176676,573235,463133,179,300,583,591,600,458617,378506,457170,0
2011-04-24,43.75,47.25,9.0,213814,769437,200733,178839,582766,454441,173,310,581,549,554,460157,380335,459740,0
2011-04-10,43.75,47.25,9.0,213814,769437,200733,178839,582766,454441,173,310,581,549,554,460157,380335,459740,0
2011-04-17,43.75,47.25,9.0,213814,769437,200733,178839,582766,454441,173,310,581,549,554,460157,380335,459740,4
2011-04-03,43.75,47.25,9.0,213814,769437,200733,178839,582766,454441,173,310,581,549,554,460157,380335,459740,4
2010-11-28,45.2,46.8,8.0,221390,804151,197202,165621,545104,426427,195,287,560,552,545,453130,367051,436289,0
2010-11-07,45.2,46.8,8.0,221390,804151,197202,165621,545104,426427,195,287,560,552,545,453130,367051,436289,35
2010-11-14,45.2,46.8,8.0,221390,804151,197202,165621,545104,426427,195,287,560,552,545,453130,367051,436289,5
2010-11-21,45.2,46.8,8.0,221390,804151,197202,165621,545104,426427,195,287,560,552,545,453130,367051,436289,5
2010-09-12,45.5,47.0,7.5,213933,807728,201932,158624,531038,422049,201,317,563,632,594,451513,359359,424355,0
2010-09-19,45.5,47.0,7.5,213933,807728,201932,158624,531038,422049,201,317,563,632,594,451513,359359,424355,0
2010-09-05,45.5,47.0,7.5,213933,807728,201932,158624,531038,422049,201,317,563,632,594,451513,359359,424355,0
2010-09-26,45.5,47.0,7.5,213933,807728,201932,158624,531038,422049,201,317,563,632,594,451513,359359,424355,4
2011-08-28,40.8,51.8,7.4,212927,811953,216705,182475,596862,468947,162,299,647,614,585,465318,383691,479718,0
2011-08-14,40.8,51.8,7.4,212927,811953,216705,182475,596862,468947,162,299,647,614,585,465318,383691,479718,0
2011-08-07,40.8,51.8,7.4,212927,811953,216705,182475,596862,468947,162,299,647,614,585,465318,383691,479718,0
2011-08-21,40.8,51.8,7.4,212927,811953,216705,182475,596862,468947,162,299,647,614,585,465318,383691,479718,10
2011-09-25,41.25,50.5,8.25,212354,813660,204738,183858,595570,457843,160,304,610,603,650,464942,387567,476060,0
2011-09-18,41.25,50.5,8.25,212354,813660,204738,183858,595570,457843,160,304,610,603,650,464942,387567,476060,0
2011-09-04,41.25,50.5,8.25,212354,813660,204738,183858,595570,457843,160,304,610,603,650,464942,387567,476060,0
2011-09-11,41.25,50.5,8.25,212354,813660,204738,183858,595570,457843,160,304,610,603,650,464942,387567,476060,4
2010-02-07,50.0,42.75,7.25,202672,814885,180450,146849,510367,394215,231,336,650,670,604,432450,346724,399869,0
2010-02-14,50.0,42.75,7.25,202672,814885,180450,146849,510367,394215,231,336,650,670,604,432450,346724,399869,0
2010-02-21,50.0,42.75,7.25,202672,814885,180450,146849,510367,394215,231,336,650,670,604,432450,346724,399869,4
2010-02-28,50.0,42.75,7.25,202672,814885,180450,146849,510367,394215,231,336,650,670,604,432450,346724,399869,8
2011-12-11,43.0,49.0,8.0,228952,821367,223835,182411,607035,478391,151,341,697,610,694,471243,391510,488893,4
2011-12-04,43.0,49.0,8.0,228952,821367,223835,182411,607035,478391,151,341,697,610,694,471243,391510,488893,4
2011-12-18,43.0,49.0,8.0,228952,821367,223835,182411,607035,478391,151,341,697,610,694,471243,391510,488893,8
2011-12-25,43.0,49.0,8.0,228952,821367,223835,182411,607035,478391,151,341,697,610,694,471243,391510,488893,4
2010-03-14,48.6,44.4,7.0,203410,821849,182148,151080,512320,400659,227,381,687,635,636,434020,354119,402348,5
